molid,smiles,n_pka,datasets,has_exclude,drug_like_pass,filter_reason,mw,logp,hbd,hba,rotb,tpsa,natoms
mol26502,O=C(O)C(=O)Cc1c[nH]c2ccccc12,1,ibond_AttenGpKa,False,True,pass,203.2,1.36,2.0,2.0,3.0,70.16,15.0
mol26507,O=C(O)C(O)Cc1c[nH]c2ccccc12,1,ibond_AttenGpKa,False,True,pass,205.21,1.16,3.0,2.0,3.0,73.32,15.0
mol26510,COc1cc2nc(C)[nH]c2cc1[N+](=O)[O-],1,ibond_AttenGpKa,False,True,pass,207.19,1.79,1.0,4.0,2.0,81.05,15.0
mol26511,COc1ccc2[nH]c(C)nc2c1[N+](=O)[O-],1,ibond_AttenGpKa,False,True,pass,207.19,1.79,1.0,4.0,2.0,81.05,15.0
mol26512,COc1nc2cc([N+](=O)[O-])ccc2n1C,1,ibond_AttenGpKa,False,True,pass,207.19,1.49,0.0,4.0,2.0,70.19,15.0
mol26513,CC(O)c1nc2cc([N+](=O)[O-])ccc2[nH]1,1,ibond_AttenGpKa,False,True,pass,207.19,1.52,2.0,4.0,2.0,92.05,15.0
mol26519,CSc1nc2c3c(ccc2[nH]1)CCCC3,1,ibond_AttenGpKa,False,True,pass,218.32,3.16,1.0,2.0,1.0,28.68,15.0
mol26520,Cc1cccc2[nH]cc(C[C@H](N)C(=O)O)c12,1,ibond_AttenGpKa,False,True,pass,218.26,1.43,3.0,2.0,3.0,79.11,16.0
mol26522,N[C@@H](Cc1c[nH]c2ccc(O)cc12)C(=O)O,1,ibond_AttenGpKa,False,True,pass,220.23,0.83,4.0,3.0,3.0,99.34,16.0
mol26523,C(=C/c1nc2ccccc2[nH]1)\c1ccccc1,1,ibond_AttenGpKa,False,True,pass,220.28,3.73,1.0,1.0,2.0,28.68,17.0
mol26525,COc1ccc(OC)c2[nH]c(C(C)O)nc12,1,ibond_AttenGpKa,False,True,pass,222.24,1.63,2.0,4.0,3.0,67.37,16.0
mol26526,Cc1cc2nc(-c3ccccc3)[nH]c2cc1C,1,ibond_AttenGpKa,False,True,pass,222.29,3.85,1.0,1.0,1.0,28.68,17.0
mol26527,O=[N+]([O-])c1cc(O)c2[nH]ncc2c1[N+](=O)[O-],1,ibond_AttenGpKa,False,True,pass,224.13,1.08,2.0,6.0,2.0,135.19,16.0
mol26531,Cc1cc2nc(Cc3ccccc3)[nH]c2cc1C,1,ibond_AttenGpKa,False,True,pass,236.32,3.77,1.0,1.0,2.0,28.68,18.0
mol26533,COc1ccc2c(c1)ncn2C(=O)c1ccccc1,1,ibond_AttenGpKa,False,True,pass,252.27,2.73,0.0,3.0,2.0,44.12,19.0
mol26538,COc1c(Br)cc(OC)c2[nH]c(C)nc12,1,ibond_AttenGpKa,False,True,pass,271.11,2.65,1.0,3.0,2.0,47.14,15.0
mol26541,CN(C)Cc1c[nH]c2ccc(OC(=O)c3ccccc3)cc12,1,ibond_AttenGpKa,False,True,pass,294.35,3.45,1.0,3.0,4.0,45.33,22.0
mol26573,CC1(C)C(/C=C/C=C/C=C2/Nc3ccc(S(=O)(=O)O)cc3C2(C)C)=Nc2ccc(C(=O)O)cc21,1,ibond_AttenGpKa,False,True,pass,478.57,5.39,3.0,5.0,5.0,116.06,34.0
mol26575,CC1(C)/C(=C\C=C\C=C\c2sc3ccccc3[n+]2CCCCCC(=O)O)Nc2ccc(S(=O)(=O)[O-])cc21,1,ibond_AttenGpKa,False,True,pass,538.69,5.59,2.0,6.0,10.0,110.41,37.0
mol26576,CCN1/C(=C/C=C/C=C/C2=Nc3ccc(S(=O)(=O)O)cc3C2(C)C)C(C)(C)c2cc(S(=O)(=O)O)ccc21,1,ibond_AttenGpKa,False,True,pass,542.68,5.36,2.0,6.0,6.0,124.34,37.0
mol26587,c1cnc2c(ccc3nccnc32)n1,1,ibond_AttenGpKa,False,True,pass,182.19,1.57,0.0,4.0,0.0,51.56,14.0
mol26598,Nc1cc2cccnc2c2ncccc12,1,ibond_AttenGpKa,False,True,pass,195.22,2.37,1.0,3.0,0.0,51.8,15.0
mol26599,Nc1ccc2ccc3cccnc3c2n1,1,ibond_AttenGpKa,False,True,pass,195.22,2.37,1.0,3.0,0.0,51.8,15.0
mol26613,Cc1ccnc2c1ccc1cccnc12,1,ibond_AttenGpKa,False,True,pass,194.24,3.09,0.0,2.0,0.0,25.78,15.0
mol26636,Cc1ccc2c(O)c3ccccc3nc2n1,1,ibond_AttenGpKa,False,True,pass,210.24,2.8,1.0,3.0,0.0,46.01,16.0
mol26640,O=[N+]([O-])c1ccc2[nH]c3ccccc3c2c1,1,ibond_AttenGpKa,False,True,pass,212.21,3.23,1.0,2.0,1.0,58.93,16.0
mol26659,Cc1cc(C)c2c(O)c3ccccc3nc2n1,1,ibond_AttenGpKa,False,True,pass,224.26,3.11,1.0,3.0,0.0,46.01,17.0
mol26660,Cc1cc2c(O)c3ccccc3nc2nc1C,1,ibond_AttenGpKa,False,True,pass,224.26,3.11,1.0,3.0,0.0,46.01,17.0
mol26664,CSc1c2ccccc2nc2ccccc12,1,ibond_AttenGpKa,False,True,pass,225.32,4.11,0.0,2.0,1.0,12.89,16.0
mol26665,Cc1nc2nc3ccccc3c(O)c2cc1N,1,ibond_AttenGpKa,False,True,pass,225.25,2.38,2.0,4.0,0.0,72.03,17.0
mol26673,C[n+]1c2ccccc2cc2c3ccccc3[nH]c21,1,ibond_AttenGpKa,False,True,pass,233.29,3.3,1.0,0.0,0.0,19.67,18.0
mol26674,C[n+]1cc2c3ccccc3[nH]c2c2ccccc21,1,ibond_AttenGpKa,False,True,pass,233.29,3.3,1.0,0.0,0.0,19.67,18.0
mol26675,C[n+]1c2ccccc2cc2[nH]c3ccccc3c21,1,ibond_AttenGpKa,False,True,pass,233.29,3.3,1.0,0.0,0.0,19.67,18.0
mol26676,C[n+]1cc2[nH]c3ccccc3c2c2ccccc21,1,ibond_AttenGpKa,False,True,pass,233.29,3.3,1.0,0.0,0.0,19.67,18.0
mol26679,NC(=O)c1ccc2nc3ccccc3c(N)c2c1,1,ibond_AttenGpKa,False,True,pass,237.26,2.07,2.0,3.0,1.0,82.0,18.0
mol26691,CCSc1c2ccccc2nc2ccccc12,1,ibond_AttenGpKa,False,True,pass,239.34,4.5,0.0,2.0,2.0,12.89,17.0
mol26695,Cc1nc2nc3ccccc3c(O)c2cc1Cl,1,ibond_AttenGpKa,False,True,pass,244.68,3.45,1.0,3.0,0.0,46.01,17.0
mol26708,CC(C)Cc1ccc2c(O)c3ccccc3nc2n1,1,ibond_AttenGpKa,False,True,pass,252.32,3.69,1.0,3.0,2.0,46.01,19.0
mol26712,COc1ccc2nc3ccccc3c(SC)c2c1,1,ibond_AttenGpKa,False,True,pass,255.34,4.12,0.0,3.0,2.0,22.12,18.0
mol26714,O=[N+]([O-])c1ccc2[nH]c3ccc([N+](=O)[O-])cc3c2c1,1,ibond_AttenGpKa,False,True,pass,257.2,3.14,1.0,4.0,2.0,102.07,19.0
mol26717,COc1ccc2c(c1)cc1c3ccccc3[nH]c1[n+]2C,1,ibond_AttenGpKa,False,True,pass,263.32,3.31,1.0,1.0,1.0,28.9,20.0
mol26719,C[n+]1c2cc(Cl)ccc2cc2c3ccccc3[nH]c21,1,ibond_AttenGpKa,False,True,pass,267.74,3.95,1.0,0.0,0.0,19.67,19.0
mol26729,CC(=O)ON(C(C)=O)c1ccc2c(n1)[nH]c1ccccc12,1,ibond_AttenGpKa,False,True,pass,283.29,2.55,1.0,4.0,1.0,75.29,21.0
mol26730,CCCSc1c2ccccc2nc2ccc(OC)cc12,1,ibond_AttenGpKa,False,True,pass,283.4,4.9,0.0,3.0,4.0,22.12,20.0
mol26731,CN(C)CSc1c2ccccc2nc2cc(N)ccc12,1,ibond_AttenGpKa,False,True,pass,283.4,3.58,1.0,4.0,3.0,42.15,20.0
mol26732,CC(C)(C)C(=O)ONc1ccc2c(n1)[nH]c1ccccc12,1,ibond_AttenGpKa,False,True,pass,283.33,3.63,2.0,4.0,2.0,67.01,21.0
mol26737,Cc1nc2nc3ccccc3c(O)c2cc1Br,1,ibond_AttenGpKa,False,True,pass,289.13,3.56,1.0,3.0,0.0,46.01,17.0
mol26743,COc1cccc2c(SCN(C)C)c3ccccc3nc12,1,ibond_AttenGpKa,False,True,pass,298.41,4.01,0.0,4.0,4.0,25.36,21.0
mol26747,C[n+]1c2ccc(Br)cc2cc2c3ccccc3[nH]c21,1,ibond_AttenGpKa,False,True,pass,312.19,4.06,1.0,0.0,0.0,19.67,19.0
mol26748,C[n+]1c2cc(Br)ccc2cc2c3ccccc3[nH]c21,1,ibond_AttenGpKa,False,True,pass,312.19,4.06,1.0,0.0,0.0,19.67,19.0
mol26753,COc1ccc2nc3ccccc3c(Sc3ccccc3)c2c1,1,ibond_AttenGpKa,False,True,pass,317.41,5.55,0.0,3.0,3.0,22.12,23.0
mol26756,COc1cccc2c1-c1c3c(OC)cccc3nc3cccc(c13)N2C,1,ibond_AttenGpKa,False,True,pass,342.4,5.15,0.0,4.0,2.0,34.59,26.0
mol26758,Nc1ccc2c(Sc3ccc([N+](=O)[O-])cc3)c3ccccc3nc2c1,1,ibond_AttenGpKa,False,True,pass,347.4,5.03,1.0,5.0,3.0,82.05,25.0
mol26776,CC1C(=O)CCC1=O,1,ibond_AttenGpKa,False,True,pass,112.13,0.55,0.0,2.0,0.0,34.14,8.0
mol26788,CC1C(=O)CC(=O)C1=O,1,ibond_AttenGpKa,False,True,pass,126.11,-0.27,0.0,3.0,0.0,51.21,9.0
mol26789,CCC1C(=O)CCC1=O,1,ibond_AttenGpKa,False,True,pass,126.15,0.94,0.0,2.0,1.0,34.14,9.0
mol26802,CC(=O)CS(=O)(=O)O,1,ibond_AttenGpKa,False,True,pass,138.14,-0.54,1.0,3.0,2.0,71.44,8.0
mol26809,CCC1C(=O)CC(=O)C1=O,1,ibond_AttenGpKa,False,True,pass,140.14,0.12,0.0,3.0,1.0,51.21,10.0
mol26810,CC(C)C1C(=O)CCC1=O,1,ibond_AttenGpKa,False,True,pass,140.18,1.19,0.0,2.0,1.0,34.14,10.0
mol26812,COC(=O)C1CCCC1=O,1,ibond_AttenGpKa,False,True,pass,142.15,0.53,0.0,3.0,1.0,43.37,10.0
mol26817,O=C1CCCS(=O)(=O)C1,1,ibond_AttenGpKa,False,True,pass,148.18,-0.24,0.0,3.0,0.0,51.21,9.0
mol26829,CC/N=C1/C=C(OC)CCC1,1,ibond_AttenGpKa,False,True,pass,153.22,2.16,0.0,2.0,2.0,21.59,11.0
mol26833,CC(C)C1C(=O)CC(=O)C1=O,1,ibond_AttenGpKa,False,True,pass,154.16,0.37,0.0,3.0,1.0,51.21,11.0
mol26835,CC(=O)NC1=C(O)CCC1=O,1,ibond_AttenGpKa,False,True,pass,155.15,0.26,2.0,3.0,1.0,66.4,11.0
mol26836,CC(=O)NC1C(=O)CCC1=O,1,ibond_AttenGpKa,False,True,pass,155.15,-0.58,1.0,3.0,1.0,63.24,11.0
mol2684,COCC(=O)N1C[C@@H](NCc2ccc3c(n2)NC(=O)CO3)CC[C@@H]1CCc1c(Cl)cnc2ccc(OC)nc12,1,Manchester,False,True,pass,555.04,2.75,2.0,9.0,9.0,127.8,39.0
mol2685,COc1ccc2ncc(Cl)c(CC[C@H]3CC[C@H](NCc4ccc5c(n4)NC(=O)CO5)CN3C(=O)COC(C)=O)c2n1,1,Manchester,False,True,pass,583.05,2.66,2.0,10.0,9.0,144.87,41.0
mol26857,COC1=C/C(=N/C(C)C)CCC1,1,ibond_AttenGpKa,False,True,pass,167.25,2.55,0.0,2.0,2.0,21.59,12.0
mol26870,CC(=O)NCC(=O)c1ccccc1,1,ibond_AttenGpKa,False,True,pass,177.2,1.01,1.0,2.0,3.0,46.17,13.0
mol26871,CC(=O)C(Br)C(C)=O,1,ibond_AttenGpKa,False,True,pass,179.01,0.93,0.0,2.0,2.0,34.14,8.0
mol26872,CC(=O)C(C(C)=O)S(C)(=O)=O,1,ibond_AttenGpKa,False,True,pass,178.21,-0.42,0.0,4.0,3.0,68.28,11.0
mol26873,COC(=O)CC(=O)c1ccccc1,1,ibond_AttenGpKa,False,True,pass,178.19,1.43,0.0,3.0,3.0,43.37,13.0
mol26885,COC1=C/C(=N/C(C)(C)C)CCC1,1,ibond_AttenGpKa,False,True,pass,181.28,2.94,0.0,2.0,1.0,21.59,13.0
mol2690,CC1(C)C(=O)C(C(=O)c2ccc(S(C)(=O)=O)cc2[N+](=O)[O-])C(=O)C(C)(C)C1=O,1,Caine,False,True,pass,409.42,1.57,0.0,8.0,4.0,145.56,28.0
mol2691,Cc1cc(C(=O)C2C(=O)C(C)(C)C(=O)C(C)(C)C2=O)c(=O)n(-c2ccccc2)n1,1,Caine,False,True,pass,394.43,2.11,0.0,6.0,3.0,103.17,29.0
mol26914,CC(=O)NC1=C(O)CC(C)(C)CC1=O,1,ibond_AttenGpKa,False,True,pass,197.23,1.28,2.0,3.0,1.0,66.4,14.0
mol26915,CC(=O)NC1C(=O)CC(C)(C)CC1=O,1,ibond_AttenGpKa,False,True,pass,197.23,0.45,1.0,3.0,1.0,63.24,14.0
